Temp./C,Time/min,DSC/(mW/mg),Sensit./(uV/mW),Segment
    26.26212,    0.52000, 8.2869e-002,3.74176,1
    26.25482,    0.52167, 8.3092e-002,3.74176,1
    26.24759,    0.52333, 8.3316e-002,3.74176,1
    26.24053,    0.52500, 8.3559e-002,3.74176,1
    26.23341,    0.52667, 8.3844e-002,3.74176,1
    26.22623,    0.52833, 8.4149e-002,3.74176,1
    26.21900,    0.53000, 8.4434e-002,3.74176,1
    26.21165,    0.53167, 8.4718e-002,3.74176,1
    26.20441,    0.53333, 8.4921e-002,3.74176,1
    26.19718,    0.53500, 8.5104e-002,3.74176,1
    26.18994,    0.53667, 8.5307e-002,3.74176,1
    26.18259,    0.53833, 8.5490e-002,3.74176,1
    26.17529,    0.54000, 8.5673e-002,3.74175,1
    26.16800,    0.54167, 8.5896e-002,3.74175,1
    26.16065,    0.54333, 8.6079e-002,3.74175,1
    26.15324,    0.54500, 8.6262e-002,3.74175,1
    26.14594,    0.54667, 8.6444e-002,3.74175,1
    26.13871,    0.54833, 8.6648e-002,3.74175,1
    26.13147,    0.55000, 8.6871e-002,3.74175,1
    26.12412,    0.55167, 8.7074e-002,3.74175,1
    26.11665,    0.55333, 8.7277e-002,3.74175,1
    26.10924,    0.55500, 8.7480e-002,3.74175,1
    26.10188,    0.55667, 8.7704e-002,3.74175,1
    26.09447,    0.55833, 8.7927e-002,3.74175,1
    26.08706,    0.56000, 8.8151e-002,3.74175,1
    26.07959,    0.56167, 8.8354e-002,3.74175,1
    26.07218,    0.56333, 8.8577e-002,3.74175,1
    26.06471,    0.56500, 8.8842e-002,3.74175,1
    26.05724,    0.56667, 8.9045e-002,3.74175,1
    26.04976,    0.56833, 8.9248e-002,3.74175,1
    26.04229,    0.57000, 8.9451e-002,3.74175,1
    26.03482,    0.57167, 8.9654e-002,3.74175,1
    26.02741,    0.57333, 8.9837e-002,3.74175,1
    26.01994,    0.57500, 9.0040e-002,3.74175,1
    26.01241,    0.57667, 9.0243e-002,3.74175,1
    26.00482,    0.57833, 9.0446e-002,3.74174,1
    25.99735,    0.58000, 9.0629e-002,3.74174,1
    25.98988,    0.58167, 9.0832e-002,3.74174,1
    25.98241,    0.58333, 9.1076e-002,3.74174,1
    25.97488,    0.58500, 9.1279e-002,3.74174,1
    25.96735,    0.58667, 9.1502e-002,3.74174,1
    25.95976,    0.58833, 9.1726e-002,3.74174,1
    25.95212,    0.59000, 9.1970e-002,3.74174,1
    25.94447,    0.59167, 9.2213e-002,3.74174,1
    25.93694,    0.59333, 9.2417e-002,3.74174,1
    25.92935,    0.59500, 9.2640e-002,3.74174,1
    25.92165,    0.59667, 9.2843e-002,3.74174,1
    25.91388,    0.59833, 9.3067e-002,3.74174,1
    25.90618,    0.60000, 9.3290e-002,3.74174,1
    25.89847,    0.60167, 9.3493e-002,3.74174,1
    25.89076,    0.60333, 9.3452e-002,3.74174,1
    25.88294,    0.60500, 9.3533e-002,3.74174,1
    25.87518,    0.60667, 9.3695e-002,3.74174,1
    25.86741,    0.60833, 9.3959e-002,3.74174,1
    25.85971,    0.61000, 9.4183e-002,3.74174,1
    25.85194,    0.61167, 9.4549e-002,3.74174,1
    25.84406,    0.61333, 9.4813e-002,3.74174,1
    25.83612,    0.61500, 9.5057e-002,3.74173,1
    25.82835,    0.61667, 9.5321e-002,3.74173,1
    25.82059,    0.61833, 9.5565e-002,3.74173,1
    25.81276,    0.62000, 9.5849e-002,3.74173,1
    25.80482,    0.62167, 9.6134e-002,3.74173,1
    25.79694,    0.62333, 9.6378e-002,3.74173,1
    25.78912,    0.62500, 9.6622e-002,3.74173,1
    25.78124,    0.62667, 9.6886e-002,3.74173,1
    25.77329,    0.62833, 9.7129e-002,3.74173,1
    25.76535,    0.63000, 9.7373e-002,3.74173,1
    25.75735,    0.63167, 9.7597e-002,3.74173,1
    25.74947,    0.63333, 9.7800e-002,3.74173,1
    25.74159,    0.63500, 9.8003e-002,3.74173,1
    25.73359,    0.63667, 9.8206e-002,3.74173,1
    25.72547,    0.63833, 9.8409e-002,3.74173,1
    25.71729,    0.64000, 9.8490e-002,3.74173,1
    25.70929,    0.64167, 9.8611e-002,3.74173,1
    25.70141,    0.64333, 9.8774e-002,3.74173,1
    25.69335,    0.64500, 9.8956e-002,3.74173,1
    25.68524,    0.64667, 9.9343e-002,3.74173,1
    25.67712,    0.64833, 9.9648e-002,3.74172,1
    25.66894,    0.65000, 9.9871e-002,3.74172,1
    25.66076,    0.65167,     0.10007,3.74172,1
    25.65247,    0.65333,     0.10030,3.74172,1
    25.64418,    0.65500,     0.10052,3.74172,1
    25.63594,    0.65667,     0.10077,3.74172,1
    25.62771,    0.65833,     0.10101,3.74172,1
    25.61953,    0.66000,     0.10125,3.74172,1
    25.61124,    0.66167,     0.10144,3.74172,1
    25.60294,    0.66333,     0.10164,3.74172,1
    25.59465,    0.66500,     0.10188,3.74172,1
    25.58641,    0.66667,     0.10213,3.74172,1
    25.57818,    0.66833,     0.10231,3.74172,1
    25.56982,    0.67000,     0.10249,3.74172,1
    25.56141,    0.67167,     0.10267,3.74172,1
    25.55300,    0.67333,     0.10288,3.74172,1
    25.54465,    0.67500,     0.10310,3.74172,1
    25.53629,    0.67667,     0.10330,3.74172,1
    25.52794,    0.67833,     0.10351,3.74172,1
    25.51947,    0.68000,     0.10373,3.74171,1
    25.51094,    0.68167,     0.10395,3.74171,1
    25.50259,    0.68333,     0.10420,3.74171,1
    25.49418,    0.68500,     0.10442,3.74171,1
    25.48565,    0.68667,     0.10462,3.74171,1
    25.47712,    0.68833,     0.10483,3.74171,1
    25.46871,    0.69000,     0.10507,3.74171,1
    25.46024,    0.69167,     0.10538,3.74171,1
    25.45176,    0.69333,     0.10564,3.74171,1
    25.44324,    0.69500,     0.10594,3.74171,1
    25.43471,    0.69667,     0.10621,3.74171,1
